pcode,year,junaug_mm,n_days
NE003004,2018,584.389819683042,91
NE003004,2019,562.648226605,91
NE003004,2020,360.30261537415,91
NE003004,2021,502.19688605364,91
NE003004,2022,480.5615102194,91
NE003004,2023,350.49735158977,91
NE003004,2024,493.304649055669,91
NE003004,2025,533.1500565301,91
NE003004,2026,321.14741885784,90
NE003005,1998,443.520375793514,91
NE003005,1999,372.751170180178,91
NE003005,2000,460.47449565916,91
NE003005,2001,443.24627207756004,91
NE003005,2002,520.87391545936,91
NE003005,2003,464.68488653185403,91
NE003005,2004,583.72282988002,91
NE003005,2005,533.991361246714,91
NE003005,2006,484.08862141936,91
NE003005,2007,447.091362488154,91
NE003005,2008,372.75744161553,91
NE003005,2009,428.099893617998,91
NE003005,2010,612.6250829583,91
NE003005,2011,449.22891503750003,91
NE003005,2012,526.5688149272399,91
NE003005,2013,433.18175286277,91
NE003005,2014,290.9383256357,91
NE003005,2015,528.19184918026,91
NE003005,2016,354.23283806116,91
NE003005,2017,472.44890956083,91
NE003005,2018,744.5743978195001,91
NE003005,2019,675.923219324,91
NE003005,2020,398.9987212299,91
NE003005,2021,581.1973494608,91
NE003005,2022,453.1054770375,91
NE003005,2023,374.2804826143,91
NE003005,2024,546.3470500764,91
NE003005,2025,512.0749881791,91
NE003005,2026,374.3315618724,90
NE003006,1998,453.25349199994,91
NE003006,1999,505.2925560965,91
NE003006,2000,481.12917397094,91
NE003006,2001,623.681558734,91
NE003006,2002,640.30567374,91
NE003006,2003,455.6534872959,91
NE003006,2004,616.63386727766,91
NE003006,2005,564.2363676169,91
NE003006,2006,580.5424891061,91
NE003006,2007,604.864923608,91
NE003006,2008,361.50336437037,91
NE003006,2009,412.79787180430003,91
NE003006,2010,588.26761333077,91
NE003006,2011,422.92074450949,91
NE003006,2012,591.237484483996,91
NE003006,2013,524.56592404927,91
NE003006,2014,285.475180482096,91
NE003006,2015,556.0674924082,91
NE003006,2016,452.8611751579,91
NE003006,2017,696.5512993854,91
NE003006,2018,848.68910346438,91
NE003006,2019,577.7951773318,91
NE003006,2020,423.13961323624,91
NE003006,2021,503.8454271319,91
NE003006,2022,620.4963690819,91
NE003006,2023,474.1216822146,91
NE003006,2024,568.9926096747,91
NE003006,2025,542.2986095735,91
NE003006,2026,357.83086572197,90
NE003007,1998,333.6342931172,91
NE003007,1999,372.650263046,91
NE003007,2000,339.33681825958,91
NE003007,2001,333.1959024965,91
NE003007,2002,434.33821450327997,91
NE003007,2003,329.6830037572,91
NE003007,2004,472.19031129202,91
NE003007,2005,427.62896704525997,91
NE003007,2006,476.7898843028,91
NE003007,2007,361.21096332648,91
NE003007,2008,265.70193436804,91
NE003007,2009,288.86397309935,91
NE003007,2010,392.0871397955,91
NE003007,2011,299.24402875938,91
NE003007,2012,358.60649948242,91
