pcode,year,junjul_mm,n_pix
NE006011,2007,176.37216186523438,314
NE006008,2007,217.07699584960938,304
NE005012,2007,82.98121643066406,593
NE004004,2007,172.291748046875,33
NE002006,2007,100.09062194824219,330
NE004002,2007,94.03573608398438,192
NE006007,2007,207.130126953125,141
NE005005,2007,145.6883087158203,125
NE005009,2007,107.89010620117188,389
NE004007,2007,184.78616333007812,1
NE004001,2007,158.60922241210938,58
NE007003,2007,146.5466766357422,145
NE004006,2007,185.6664581298828,125
NE006004,2007,109.84803771972656,214
NE006002,2007,117.6888198852539,100
NE003005,2007,247.48338317871094,51
NE007006,2007,166.235595703125,131
NE005004,2007,136.22201538085938,124
NE007007,2007,142.25384521484375,123
NE006009,2007,163.5015869140625,488
NE006003,2007,208.853271484375,44
NE002002,2007,132.688232421875,180
NE006013,2007,229.69921875,202
NE005007,2007,137.23257446289062,151
NE006001,2007,112.2558364868164,429
NE002005,2007,24.89344024658203,3920
NE007005,2007,155.69223022460938,74
NE007001,2007,88.21170806884766,309
NE005006,2007,128.05096435546875,124
NE007002,2007,99.4461898803711,173
NE006012,2007,158.8015899658203,170
NE006006,2007,185.9793701171875,350
NE001003,2007,3.539733648300171,9604
NE007008,2007,121.63394927978516,112
NE007010,2007,39.227928161621094,2333
NE003006,2007,274.3656921386719,82
NE005013,2007,111.89140319824219,25
NE005001,2007,73.0786361694336,464
NE007011,2007,141.3233642578125,16
NE006005,2007,172.5293426513672,48
NE002004,2007,117.5253677368164,252
NE002001,2007,113.34112548828125,59
NE001004,2008,8.669050216674805,4833
NE001005,2008,46.831748962402344,2074
NE008001,2008,225.047119140625,17
NE004003,2008,124.4930191040039,357
NE003004,2008,228.75958251953125,300
NE003002,2008,233.77964782714844,53
NE007004,2008,130.61207580566406,698
NE007009,2008,115.4967041015625,806
NE003001,2008,201.13499450683594,105
NE004008,2008,154.55015563964844,218
NE003007,2008,191.50711059570312,90
NE002003,2008,115.80681610107422,268
NE005010,2008,86.01324462890625,1005
NE005008,2008,202.7376708984375,50
