season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
1984,0.1480603817536837,0.29387156261677205,NE008001,2,SON
1985,0.43717082091087306,0.5753077290969572,NE008001,2,SON
1986,0.5143782521050627,0.6448408876141425,NE008001,2,SON
1987,0.3624648721099936,0.4852532349420674,NE008001,2,SON
1988,0.164040271816824,0.2791543619718935,NE008001,2,SON
1989,0.45643509102901897,0.5638749085070842,NE008001,2,SON
1990,0.24328681066751626,0.34305235546857726,NE008001,2,SON
1991,0.1834089458336114,0.2755002179576681,NE008001,2,SON
1992,0.1888984150528697,0.27331541449992036,NE008001,2,SON
1993,0.2789403810340635,0.3556831078041099,NE008001,2,SON
1994,0.5272288616596287,0.5962973157526708,NE008001,2,SON
1995,0.5775538058139174,0.6389479872299553,NE008001,2,SON
1996,0.3572715876954852,0.41099149643451705,NE008001,2,SON
1997,0.41608465072000583,0.4621302867820334,NE008001,2,SON
1998,0.3940353125902244,0.4324066759752477,NE008001,2,SON
1999,0.7730664645504177,0.8037635552584368,NE008001,2,SON
2000,0.19722963065118637,0.22025244868220112,NE008001,2,SON
2001,0.3953485565756547,0.4106971019296634,NE008001,2,SON
2002,0.5417562428525448,0.5494305155295491,NE008001,2,SON
2003,0.6672760147954943,0.6672760147954944,NE008001,2,SON
2004,0.47134851257613336,0.46367423989912926,NE008001,2,SON
2005,0.49926094554852946,0.4839124001945193,NE008001,2,SON
2006,0.6972919843515133,0.6742691663204989,NE008001,2,SON
2007,0.591858206953239,0.5611611162452204,NE008001,2,SON
2008,0.5045039885884509,0.46613262520342796,NE008001,2,SON
2009,0.22353885343491522,0.17749321737288798,NE008001,2,SON
2010,0.9300570452005895,0.8763371364615562,NE008001,2,SON
2011,0.648647679994256,0.5872534985782185,NE008001,2,SON
2012,0.4033243210962234,0.3342558670031816,NE008001,2,SON
2013,0.6267304685023211,0.5499877417322749,NE008001,2,SON
2014,0.7826172899465806,0.6982002904995286,NE008001,2,SON
2015,0.8439025448099181,0.7518112726858617,NE008001,2,SON
2016,0.41912066725037955,0.3193551224493189,NE008001,2,SON
2017,0.3487000848278203,0.24126026734975536,NE008001,2,SON
2018,0.5315132622465476,0.4163991720914784,NE008001,2,SON
2019,0.4152160817738923,0.29242771894181707,NE008001,2,SON
2020,0.43659914195769384,0.30613650644861434,NE008001,2,SON
2021,0.4026170705247866,0.26448016233870286,NE008001,2,SON
2022,0.8721237178105186,0.7263125369474306,NE008001,2,SON
2023,0.4654190986261344,0.3119336450860403,NE008001,2,SON
2024,0.5843703564404974,0.42321063022339905,NE008001,2,SON
2025,0.503638097641643,0.3348040987475404,NE008001,2,SON
2026,0.41180183366806505,0.23529356209695818,NE008001,2,SON
1981,0.9731658509983573,1.083182636550477,NE004003,2,JJA
1982,0.7309699796806425,0.8359860022531213,NE004003,2,JJA
1983,0.7546741873939415,0.8546894469867792,NE004003,2,JJA
1984,0.6114617125766005,0.7064762091897953,NE004003,2,JJA
1985,0.8994759245526093,0.9894896581861629,NE004003,2,JJA
1986,0.7791897539337409,0.8642027245876516,NE004003,2,JJA
1987,0.7917133779879075,0.8717255856621771,NE004003,2,JJA
1988,1.3199369296309031,1.3949483743255315,NE004003,2,JJA
1989,1.1569437170645975,1.226954398779583,NE004003,2,JJA
1990,0.8605588614588473,0.9255687801941916,NE004003,2,JJA
