level,pcode,year,spi
2,NE004002,2007,-0.05896553641292308
2,NE004002,2006,-1.0690864847471246
2,NE004002,2005,1.2218510808013552
2,NE004002,2004,-1.8942019751864263
2,NE004002,2003,0.8885649236390863
2,NE004002,2002,-0.12316987805683
2,NE004002,2001,1.2225910518279095
2,NE004002,2000,0.22691039337375848
2,NE004002,1999,0.1937621576935711
2,NE004002,1998,1.1569298215127939
2,NE004002,1997,-0.7024271931087327
2,NE004002,1996,-0.12524880835112412
2,NE004002,1995,-1.9430833562449137
2,NE004002,1994,-0.07613652648718952
2,NE004002,1993,-3.5560500365586303
2,NE004002,1992,-0.2605377185392899
2,NE004002,1991,0.08325902726113535
2,NE006007,2026,0.24491642158492533
2,NE006007,2025,0.21997231939799758
2,NE006007,2024,1.5260311947834995
2,NE006007,2023,-1.0347324509515416
2,NE006007,2022,-1.7591915427733242
2,NE006007,2021,-0.36226996285534796
2,NE006007,2020,0.011514449370482733
2,NE006007,2019,-0.4589166726728645
2,NE006007,2018,-0.5930677691481372
2,NE006007,2017,-0.3592422527056328
2,NE006007,2016,-0.566258402397722
2,NE006007,2015,0.9144923684587436
2,NE006007,2014,0.9348774118117165
2,NE006007,2013,-0.5335450291643967
2,NE006007,2012,0.30057191953928397
2,NE006007,2011,-1.1538054965742905
2,NE006007,2010,0.4905477002143194
2,NE006007,2009,-0.2603072853027343
2,NE006007,2008,0.1943215084788255
2,NE006007,2007,1.3771856910088507
2,NE006007,2006,-0.44736406403838314
2,NE006007,2005,1.0919781455154256
2,NE006007,2004,-0.5652694673916067
2,NE006007,2003,2.0128100398699655
2,NE006007,2002,-1.0205028561285454
2,NE006007,2001,-0.10663317143166312
2,NE006007,2000,1.1207106300558107
2,NE006007,1999,-0.07640796816338444
2,NE006007,1998,1.6415864766245767
2,NE006007,1997,-0.8694547732398571
2,NE006007,1996,-0.4243339324224825
2,NE006007,1995,-0.2417969592899867
2,NE006007,1994,-0.16905709511668476
2,NE006007,1993,-0.6827735461294979
2,NE006007,1992,0.17494345534044425
2,NE006007,1991,-0.4106226834762237
2,NE005005,2026,-0.40410595111191216
